event_id,gmv_PGA,gmv_SA(0.3)
4,0.234,0.523
4,0.112,0.19
4,0.116,0.198
4,0.121,0.206
4,0.138,0.234
4,0.144,0.245
4,0.191,0.428
4,0.2,0.449
4,0.211,0.472
4,0.222,0.496
4,0.234,0.523
4,0.111,0.19
4,0.116,0.198
4,0.121,0.206
4,0.126,0.214
4,0.132,0.224
4,0.138,0.234
4,0.144,0.245
4,0.191,0.427
4,0.2,0.448
4,0.21,0.47
4,0.221,0.495
4,0.233,0.522
4,0.111,0.189
4,0.146,0.328
4,0.12,0.205
4,0.126,0.214
4,0.131,0.223
4,0.137,0.233
4,0.183,0.46
4,0.19,0.425
4,0.199,0.446
4,0.209,0.468
4,0.22,0.492
4,0.232,0.518
4,0.111,0.189
4,0.145,0.327
4,0.12,0.204
4,0.158,0.355
4,0.165,0.37
4,0.172,0.386
4,0.18,0.404
4,0.188,0.422
4,0.198,0.443
4,0.207,0.464
4,0.218,0.488
4,0.23,0.514
4,0.11,0.188
4,0.114,0.195
4,0.119,0.203
4,0.157,0.352
4,0.164,0.367
4,0.171,0.383
4,0.181,0.454
4,0.187,0.419
4,0.196,0.439
4,0.205,0.46
4,0.216,0.483
4,0.227,0.508
4,0.109,0.186
4,0.118,0.201
4,0.123,0.21
4,0.162,0.364
4,0.134,0.228
4,0.177,0.397
4,0.185,0.415
4,0.194,0.434
4,0.203,0.454
4,0.213,0.476
4,0.224,0.5
4,0.108,0.185
4,0.142,0.32
4,0.117,0.2
4,0.122,0.208
4,0.161,0.361
4,0.167,0.376
4,0.175,0.392
4,0.183,0.409
4,0.191,0.428
4,0.2,0.448
4,0.21,0.469
4,0.22,0.492
4,0.136,0.305
4,0.126,0.214
4,0.131,0.223
4,0.172,0.387
4,0.18,0.404
4,0.188,0.422
4,0.197,0.441
4,0.206,0.461
4,0.216,0.483
5,0.106,0.18
5,0.11,0.187
5,0.114,0.194
5,0.118,0.202
5,0.123,0.21
5,0.128,0.218
5,0.133,0.227
5,0.176,0.394
5,0.183,0.411
5,0.191,0.428
5,0.2,0.447
5,0.209,0.467
5,0.107,0.182
5,0.111,0.189
5,0.115,0.196
5,0.125,0.212
5,0.136,0.23
5,0.179,0.401
5,0.186,0.418
5,0.195,0.437
5,0.204,0.457
5,0.213,0.478
5,0.136,0.307
5,0.112,0.191
5,0.117,0.199
5,0.121,0.207
5,0.126,0.215
5,0.138,0.234
5,0.144,0.244
5,0.19,0.425
5,0.198,0.444
5,0.208,0.465
5,0.218,0.487
5,0.109,0.186
5,0.113,0.193
5,0.118,0.201
5,0.123,0.209
5,0.128,0.217
5,0.133,0.227
5,0.139,0.237
5,0.184,0.412
5,0.192,0.431
5,0.201,0.451
5,0.211,0.473
5,0.222,0.496
5,0.11,0.187
5,0.114,0.194
5,0.119,0.202
5,0.135,0.229
5,0.141,0.239
5,0.186,0.417
5,0.195,0.436
5,0.204,0.457
5,0.214,0.48
5,0.225,0.504
5,0.11,0.188
5,0.115,0.196
5,0.12,0.204
5,0.125,0.212
5,0.13,0.221
5,0.136,0.231
5,0.142,0.241
5,0.188,0.421
5,0.197,0.441
5,0.206,0.462
5,0.217,0.486
5,0.228,0.511
5,0.111,0.189
5,0.146,0.328
5,0.12,0.205
5,0.125,0.213
5,0.131,0.222
5,0.137,0.232
5,0.183,0.459
5,0.189,0.424
5,0.198,0.444
5,0.208,0.466
5,0.219,0.49
5,0.231,0.516
5,0.111,0.19
5,0.146,0.329
5,0.121,0.205
5,0.159,0.357
5,0.166,0.373
5,0.173,0.389
5,0.182,0.407
5,0.19,0.426
5,0.2,0.447
5,0.21,0.469
5,0.221,0.494
5,0.233,0.52
5,0.111,0.19
5,0.116,0.198
5,0.121,0.206
5,0.159,0.358
5,0.166,0.373
5,0.174,0.39
5,0.184,0.463
5,0.191,0.428
5,0.2,0.448
5,0.21,0.471
5,0.222,0.496
5,0.234,0.523
5,0.112,0.19
5,0.121,0.206
5,0.126,0.215
5,0.167,0.374
5,0.138,0.234
5,0.182,0.409
5,0.191,0.428
5,0.201,0.449
5,0.211,0.472
5,0.222,0.496
5,0.234,0.523
5,0.111,0.19
5,0.147,0.33
5,0.121,0.206
5,0.126,0.215
5,0.166,0.373
5,0.174,0.39
5,0.182,0.408
5,0.191,0.428
5,0.2,0.448
5,0.21,0.471
5,0.222,0.496
5,0.234,0.523
5,0.14,0.316
5,0.131,0.223
5,0.137,0.233
5,0.181,0.407
5,0.19,0.426
5,0.2,0.447
5,0.21,0.469
5,0.221,0.494
5,0.233,0.52
6,0.093,0.159
6,0.096,0.163
6,0.098,0.167
6,0.1,0.171
6,0.103,0.176
6,0.105,0.18
6,0.108,0.184
6,0.139,0.313
6,0.142,0.32
6,0.145,0.326
6,0.148,0.333
6,0.151,0.339
6,0.091,0.155
6,0.093,0.159
6,0.095,0.163
6,0.1,0.171
6,0.104,0.178
6,0.135,0.303
6,0.137,0.309
6,0.14,0.315
6,0.143,0.321
6,0.145,0.327
6,0.112,0.253
6,0.091,0.155
6,0.093,0.159
6,0.095,0.162
6,0.097,0.166
6,0.101,0.173
6,0.103,0.176
6,0.133,0.299
6,0.135,0.305
6,0.138,0.31
6,0.14,0.315
6,0.086,0.148
6,0.088,0.151
6,0.09,0.154
6,0.092,0.158
6,0.094,0.161
6,0.096,0.164
6,0.098,0.167
6,0.126,0.284
6,0.128,0.29
6,0.131,0.295
6,0.133,0.3
6,0.135,0.304
6,0.084,0.144
6,0.086,0.147
6,0.088,0.15
6,0.093,0.159
6,0.095,0.162
6,0.122,0.276
6,0.124,0.281
6,0.126,0.285
6,0.129,0.29
6,0.131,0.294
