event_id,gmv_PGA,gmv_SA(0.3)
6,0.082,0.14
6,0.084,0.143
6,0.085,0.146
6,0.087,0.149
6,0.089,0.152
6,0.09,0.155
6,0.092,0.158
6,0.118,0.267
6,0.12,0.272
6,0.122,0.276
6,0.124,0.28
6,0.126,0.284
6,0.08,0.137
6,0.103,0.232
6,0.083,0.142
6,0.085,0.145
6,0.086,0.148
6,0.088,0.15
6,0.114,0.289
6,0.115,0.259
6,0.117,0.263
6,0.118,0.267
6,0.12,0.271
6,0.122,0.275
6,0.078,0.133
6,0.1,0.226
6,0.081,0.138
6,0.104,0.235
6,0.106,0.239
6,0.107,0.243
6,0.109,0.247
6,0.111,0.251
6,0.113,0.255
6,0.115,0.259
6,0.116,0.263
6,0.118,0.266
6,0.076,0.13
6,0.077,0.132
6,0.078,0.135
6,0.101,0.228
6,0.103,0.232
6,0.104,0.236
6,0.107,0.272
6,0.108,0.244
6,0.109,0.247
6,0.111,0.251
6,0.112,0.254
6,0.114,0.257
6,0.074,0.127
6,0.076,0.131
6,0.078,0.133
6,0.1,0.226
6,0.08,0.138
6,0.103,0.233
6,0.105,0.237
6,0.106,0.24
6,0.107,0.243
6,0.109,0.246
6,0.11,0.249
6,0.072,0.123
6,0.092,0.209
6,0.074,0.128
6,0.076,0.13
6,0.097,0.22
6,0.098,0.223
6,0.1,0.226
6,0.101,0.23
6,0.103,0.233
6,0.104,0.236
6,0.105,0.239
6,0.107,0.241
6,0.088,0.2
6,0.075,0.128
6,0.076,0.13
6,0.097,0.22
6,0.098,0.223
6,0.1,0.226
6,0.101,0.229
6,0.102,0.231
6,0.103,0.234
7,0.107,0.183
7,0.11,0.188
7,0.114,0.194
7,0.117,0.2
7,0.121,0.206
7,0.124,0.212
7,0.128,0.218
7,0.167,0.374
7,0.171,0.384
7,0.176,0.395
7,0.181,0.405
7,0.185,0.416
7,0.105,0.178
7,0.108,0.184
7,0.111,0.189
7,0.117,0.2
7,0.124,0.211
7,0.161,0.362
7,0.166,0.372
7,0.17,0.381
7,0.174,0.391
7,0.178,0.4
7,0.129,0.29
7,0.105,0.179
7,0.108,0.184
7,0.111,0.189
7,0.114,0.194
7,0.12,0.205
7,0.123,0.21
7,0.16,0.359
7,0.164,0.368
7,0.168,0.377
7,0.172,0.385
7,0.099,0.17
7,0.102,0.174
7,0.105,0.179
7,0.108,0.184
7,0.111,0.189
7,0.114,0.194
7,0.117,0.199
7,0.151,0.339
7,0.155,0.347
7,0.158,0.355
7,0.162,0.363
7,0.165,0.371
7,0.097,0.166
7,0.099,0.17
7,0.102,0.174
7,0.11,0.188
7,0.113,0.192
7,0.146,0.328
7,0.149,0.336
7,0.153,0.343
7,0.156,0.35
7,0.159,0.358
7,0.094,0.161
7,0.097,0.166
7,0.099,0.17
7,0.102,0.174
7,0.104,0.178
7,0.107,0.182
7,0.109,0.186
7,0.141,0.318
7,0.144,0.325
7,0.147,0.332
7,0.15,0.338
7,0.153,0.345
7,0.092,0.157
7,0.119,0.269
7,0.097,0.165
7,0.099,0.169
7,0.101,0.173
7,0.104,0.177
7,0.135,0.341
7,0.137,0.308
7,0.14,0.314
7,0.142,0.32
7,0.145,0.327
7,0.148,0.332
7,0.09,0.153
7,0.116,0.262
7,0.094,0.161
7,0.121,0.274
7,0.124,0.28
7,0.127,0.286
7,0.13,0.292
7,0.132,0.298
7,0.135,0.304
7,0.138,0.31
7,0.14,0.315
7,0.143,0.321
7,0.087,0.15
7,0.089,0.153
7,0.091,0.156
7,0.118,0.266
7,0.12,0.272
7,0.123,0.278
7,0.127,0.321
7,0.128,0.289
7,0.131,0.294
7,0.133,0.3
7,0.135,0.305
7,0.138,0.31
7,0.085,0.146
7,0.089,0.152
7,0.091,0.155
7,0.117,0.264
7,0.095,0.162
7,0.122,0.275
7,0.124,0.28
7,0.126,0.285
7,0.129,0.29
7,0.131,0.295
7,0.133,0.299
7,0.083,0.142
7,0.107,0.242
7,0.086,0.148
7,0.088,0.151
7,0.114,0.257
7,0.116,0.262
7,0.118,0.266
7,0.12,0.271
7,0.122,0.276
7,0.124,0.28
7,0.126,0.285
7,0.128,0.289
7,0.102,0.231
7,0.087,0.15
7,0.089,0.152
7,0.114,0.259
7,0.116,0.263
7,0.118,0.267
7,0.12,0.271
7,0.122,0.276
7,0.124,0.279
8,0.121,0.206
8,0.126,0.214
8,0.13,0.222
8,0.135,0.23
8,0.141,0.239
8,0.146,0.248
8,0.152,0.257
8,0.199,0.445
8,0.206,0.462
8,0.214,0.479
8,0.222,0.497
8,0.23,0.515
8,0.119,0.202
8,0.123,0.209
8,0.127,0.217
8,0.137,0.233
8,0.147,0.25
8,0.193,0.431
8,0.2,0.447
8,0.207,0.463
8,0.214,0.479
8,0.221,0.495
8,0.147,0.33
8,0.12,0.205
8,0.124,0.212
8,0.129,0.219
8,0.133,0.227
8,0.143,0.243
8,0.148,0.251
8,0.193,0.432
8,0.2,0.447
8,0.206,0.462
8,0.213,0.476
8,0.114,0.194
8,0.117,0.2
8,0.121,0.207
8,0.125,0.213
8,0.13,0.221
8,0.134,0.228
8,0.139,0.235
8,0.181,0.405
8,0.187,0.418
8,0.193,0.431
8,0.199,0.445
8,0.205,0.458
8,0.111,0.189
8,0.115,0.195
8,0.118,0.201
8,0.13,0.221
8,0.134,0.228
8,0.175,0.392
8,0.18,0.404
8,0.186,0.416
8,0.191,0.428
8,0.197,0.44
8,0.108,0.185
8,0.112,0.191
8,0.115,0.196
8,0.119,0.202
8,0.123,0.209
8,0.126,0.215
8,0.13,0.221
8,0.169,0.38
8,0.174,0.391
8,0.179,0.402
8,0.184,0.413
8,0.189,0.424
8,0.106,0.18
8,0.138,0.31
8,0.112,0.191
8,0.116,0.197
8,0.119,0.203
8,0.123,0.209
8,0.161,0.405
8,0.164,0.368
8,0.168,0.378
8,0.173,0.388
8,0.177,0.398
8,0.182,0.408
8,0.103,0.176
8,0.134,0.302
8,0.109,0.186
8,0.142,0.319
8,0.146,0.328
8,0.15,0.337
8,0.154,0.347
8,0.158,0.356
8,0.163,0.365
8,0.167,0.374
8,0.171,0.383
8,0.175,0.392
8,0.101,0.172
8,0.103,0.177
8,0.106,0.181
8,0.138,0.311
8,0.142,0.319
8,0.146,0.327
8,0.151,0.381
8,0.153,0.344
8,0.157,0.353
8,0.161,0.361
8,0.165,0.37
8,0.168,0.378
8,0.098,0.168
8,0.103,0.177
8,0.106,0.181
8,0.138,0.31
8,0.112,0.191
8,0.145,0.326
8,0.148,0.333
8,0.152,0.341
8,0.155,0.349
8,0.159,0.357
8,0.162,0.364
8,0.096,0.163
8,0.124,0.279
8,0.101,0.172
8,0.103,0.176
8,0.134,0.301
8,0.137,0.308
8,0.14,0.316
8,0.143,0.323
8,0.147,0.33
8,0.15,0.337
8,0.153,0.344
8,0.156,0.351
8,0.118,0.266
8,0.103,0.175
8,0.105,0.179
8,0.136,0.306
8,0.139,0.313
8,0.142,0.319
8,0.145,0.326
8,0.148,0.332
8,0.15,0.338
9,0.133,0.226
9,0.139,0.236
9,0.145,0.246
9,0.152,0.257
9,0.159,0.269
9,0.166,0.282
9,0.174,0.295
9,0.231,0.516
9,0.242,0.542
9,0.255,0.569
9,0.268,0.598
9,0.282,0.63
9,0.131,0.223
9,0.137,0.233
9,0.143,0.242
9,0.156,0.264
9,0.17,0.289
9,0.225,0.504
9,0.236,0.528
9,0.248,0.553
9,0.26,0.58
9,0.273,0.609
9,0.163,0.366
9,0.135,0.229
9,0.14,0.238
9,0.146,0.248
9,0.153,0.259
9,0.166,0.282
9,0.174,0.295
9,0.23,0.514
9,0.24,0.537
9,0.251,0.562
9,0.263,0.588
9,0.127,0.216
9,0.132,0.225
9,0.138,0.234
9,0.143,0.243
9,0.149,0.253
9,0.156,0.264
9,0.162,0.275
9,0.214,0.478
9,0.223,0.499
9,0.233,0.52
9,0.243,0.543
9,0.254,0.567
9,0.125,0.212
9,0.13,0.22
9,0.135,0.229
9,0.152,0.258
9,0.158,0.268
9,0.208,0.465
9,0.216,0.484
9,0.225,0.504
9,0.235,0.524
9,0.244,0.545
9,0.122,0.208
9,0.127,0.216
9,0.132,0.224
9,0.137,0.233
9,0.142,0.242
9,0.148,0.251
9,0.154,0.261
9,0.202,0.451
9,0.21,0.469
9,0.218,0.487
9,0.226,0.506
9,0.235,0.525
9,0.12,0.204
9,0.157,0.353
9,0.129,0.219
9,0.134,0.227
9,0.139,0.236
9,0.144,0.244
9,0.191,0.479
9,0.195,0.438
9,0.203,0.454
9,0.21,0.471
9,0.218,0.488
9,0.226,0.505
9,0.117,0.2
9,0.153,0.345
9,0.126,0.214
9,0.165,0.37
9,0.17,0.383
9,0.177,0.396
9,0.183,0.41
9,0.189,0.425
9,0.196,0.439
9,0.203,0.455
9,0.21,0.47
9,0.217,0.485
9,0.115,0.196
9,0.119,0.202
9,0.123,0.209
9,0.16,0.36
9,0.166,0.372
9,0.172,0.385
9,0.179,0.451
9,0.183,0.411
9,0.19,0.425
9,0.196,0.439
9,0.202,0.453
9,0.208,0.467
9,0.112,0.191
9,0.12,0.204
9,0.124,0.211
9,0.161,0.362
9,0.132,0.224
9,0.172,0.386
9,0.178,0.398
9,0.183,0.411
9,0.189,0.424
9,0.195,0.436
9,0.2,0.449
9,0.11,0.187
9,0.143,0.321
9,0.117,0.199
9,0.12,0.205
9,0.157,0.352
9,0.162,0.363
9,0.167,0.374
9,0.172,0.386
9,0.177,0.397
9,0.182,0.409
9,0.187,0.42
9,0.193,0.432
9,0.135,0.304
9,0.121,0.206
9,0.124,0.212
9,0.162,0.363
9,0.166,0.373
9,0.171,0.384
9,0.176,0.394
9,0.181,0.405
9,0.185,0.415
10,0.14,0.238
10,0.146,0.249
10,0.154,0.26
10,0.161,0.273
10,0.169,0.287
10,0.178,0.302
10,0.188,0.319
10,0.251,0.561
10,0.266,0.594
10,0.282,0.631
10,0.301,0.671
10,0.321,0.715
10,0.139,0.236
10,0.146,0.247
10,0.153,0.259
10,0.168,0.285
10,0.187,0.316
10,0.249,0.556
10,0.264,0.589
10,0.279,0.624
10,0.297,0.663
10,0.316,0.706
10,0.175,0.392
10,0.145,0.246
10,0.151,0.257
10,0.159,0.269
10,0.167,0.283
10,0.185,0.313
10,0.195,0.33
10,0.26,0.581
10,0.275,0.615
10,0.292,0.652
10,0.31,0.693
10,0.137,0.233
10,0.143,0.243
10,0.15,0.255
10,0.157,0.267
